scenarioID [],i [],V [V],wireGauge [],turns [],radius [m],wireGauge_car [],turns_car [],radius_car [m],height [m],spacing [m],velocity [m/s],totalCharge [C],cost [$],cost/charge [$/C],,best for the money,,most overall
10497,1313,100,6,410,2,8,230,1.9,0.15,0.18,30,1,838049.3472,838049.3472,,,,
18689,2337,100,6,410,2,8,230,1.9,0.15,0.36,30,1,803450.9796,803450.9796,,,,
6401,801,100,6,410,2,8,230,1.9,0.3,0,30,1,875761.5678,875761.5678,,,,
14593,1825,100,6,410,2,8,230,1.9,0.3,0.18,30,1,838049.3472,838049.3472,,,,
22785,2849,100,6,410,2,8,230,1.9,0.3,0.36,30,1,803450.9796,803450.9796,,,,
3329,417,100,6,410,2,8,230,2.1,0.15,0,30,1,875761.5678,875761.5678,,,,
11521,1441,100,6,410,2,8,230,2.1,0.15,0.18,30,1,838049.3472,838049.3472,,,,
19713,2465,100,6,410,2,8,230,2.1,0.15,0.36,30,1,803450.9796,803450.9796,,,,
7425,929,100,6,410,2,8,230,2.1,0.3,0,30,1,875761.5678,875761.5678,,,,
15617,1953,100,6,410,2,8,230,2.1,0.3,0.18,30,1,838049.3472,838049.3472,,,,
23809,2977,100,6,410,2,8,230,2.1,0.3,0.36,30,1,803450.9796,803450.9796,,,,
259,33,100,6,410,2,8,260,1.5,0.15,0,30,1,875761.5678,875761.5678,,,,
8451,1057,100,6,410,2,8,260,1.5,0.15,0.18,30,1,838049.3472,838049.3472,,,,
16643,2081,100,6,410,2,8,260,1.5,0.15,0.36,30,1,803450.9796,803450.9796,,,,
4355,545,100,6,410,2,8,260,1.5,0.3,0,30,1,875761.5678,875761.5678,,,,
12547,1569,100,6,410,2,8,260,1.5,0.3,0.18,30,1,838049.3472,838049.3472,,,,
20739,2593,100,6,410,2,8,260,1.5,0.3,0.36,30,1,803450.9796,803450.9796,,,,
1283,161,100,6,410,2,8,260,1.7,0.15,0,30,1,875761.5678,875761.5678,,,,
9475,1185,100,6,410,2,8,260,1.7,0.15,0.18,30,1,838049.3472,838049.3472,,,,
17667,2209,100,6,410,2,8,260,1.7,0.15,0.36,30,1,803450.9796,803450.9796,,,,
5379,673,100,6,410,2,8,260,1.7,0.3,0,30,1,875761.5678,875761.5678,,,,
13571,1697,100,6,410,2,8,260,1.7,0.3,0.18,30,1,838049.3472,838049.3472,,,,
21763,2721,100,6,410,2,8,260,1.7,0.3,0.36,30,1,803450.9796,803450.9796,,,,
2307,289,100,6,410,2,8,260,1.9,0.15,0,30,1,875761.5678,875761.5678,,,,
10499,1313,100,6,410,2,8,260,1.9,0.15,0.18,30,1,838049.3472,838049.3472,,,,
18691,2337,100,6,410,2,8,260,1.9,0.15,0.36,30,1,803450.9796,803450.9796,,,,
6403,801,100,6,410,2,8,260,1.9,0.3,0,30,1,875761.5678,875761.5678,,,,
14595,1825,100,6,410,2,8,260,1.9,0.3,0.18,30,1,838049.3472,838049.3472,,,,
