scenarioID,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totalCharge,cost,cost/charge
[],[V],[],[],[m],[],[],[m],[m],[m],[m/s],[C],[$],[C/$]
171,250,8,510,1,8,260,1.500000e+00,1.500000e-01,0,30,3.224294e+03,5.714760e+03,1.772407e+00,
172,250,8,510,1,12,260,1.500000e+00,1.500000e-01,0,30,1.274802e+03,5.714760e+03,4.482862e+00,
173,250,8,510,1,8,290,1.500000e+00,1.500000e-01,0,30,3.225572e+03,5.714760e+03,1.771704e+00,
174,250,8,510,1,12,290,1.500000e+00,1.500000e-01,0,30,1.275307e+03,5.714760e+03,4.481085e+00,
175,250,8,510,1,8,320,1.500000e+00,1.500000e-01,0,30,3.226612e+03,5.714760e+03,1.771133e+00,
176,250,8,510,1,12,320,1.500000e+00,1.500000e-01,0,30,1.275718e+03,5.714760e+03,4.479641e+00,
177,450,8,510,1,8,230,1.500000e+00,1.500000e-01,0,30,5.800830e+03,1.851582e+04,3.191926e+00,
178,450,8,510,1,12,230,1.500000e+00,1.500000e-01,0,30,2.293497e+03,1.851582e+04,8.073184e+00,
179,450,8,510,1,8,260,1.500000e+00,1.500000e-01,0,30,5.803729e+03,1.851582e+04,3.190332e+00,
180,450,8,510,1,12,260,1.500000e+00,1.500000e-01,0,30,2.294643e+03,1.851582e+04,8.069151e+00,
181,450,8,510,1,8,290,1.500000e+00,1.500000e-01,0,30,5.806030e+03,1.851582e+04,3.189067e+00,
182,450,8,510,1,12,290,1.500000e+00,1.500000e-01,0,30,2.295553e+03,1.851582e+04,8.065953e+00,
183,450,8,510,1,8,320,1.500000e+00,1.500000e-01,0,30,5.807901e+03,1.851582e+04,3.188040e+00,
184,450,8,510,1,12,320,1.500000e+00,1.500000e-01,0,30,2.296293e+03,1.851582e+04,8.063354e+00,
185,600,8,510,1,8,230,1.500000e+00,1.500000e-01,0,30,7.734440e+03,3.291701e+04,4.255902e+00,
186,600,8,510,1,12,230,1.500000e+00,1.500000e-01,0,30,3.057996e+03,3.291701e+04,1.076424e+01,
187,600,8,510,1,8,260,1.500000e+00,1.500000e-01,0,30,7.738305e+03,3.291701e+04,4.253776e+00,
188,600,8,510,1,12,260,1.500000e+00,1.500000e-01,0,30,3.059524e+03,3.291701e+04,1.075887e+01,
189,600,8,510,1,8,290,1.500000e+00,1.500000e-01,0,30,7.741374e+03,3.291701e+04,4.252090e+00,
190,600,8,510,1,12,290,1.500000e+00,1.500000e-01,0,30,3.060737e+03,3.291701e+04,1.075460e+01,
191,600,8,510,1,8,320,1.500000e+00,1.500000e-01,0,30,7.743868e+03,3.291701e+04,4.250720e+00,
192,600,8,510,1,12,320,1.500000e+00,1.500000e-01,0,30,3.061723e+03,3.291701e+04,1.075114e+01,
